rho,mu,method,overlap1,overlap1_std,overlap2,overlap2_std,sum,sum_std
0.0,0.0,A,0.03398169515277815,0.0018521110271458865,0.8651913997870375,0.0008893113760468968,0.4495865474699079,0.0010336855375346207
0.0,0.0,B,0.03398169515277815,0.001852111027145887,0.8651913997870375,0.0008893113760468976,0.4495865474699079,0.001033685537534621
0.0,0.0,naive,0.877376446137913,0.0008138455203745808,0.09883927671667714,0.005193021737280238,0.4881078614272951,0.0024198789985418003
0.0,0.00404040404040404,A,0.03822483926099175,0.001854894408170431,0.864475531603493,0.0007998237492628945,0.45135018543224237,0.0010037593562764366
0.0,0.00404040404040404,B,0.05135108569462314,0.002057894341753209,0.8643439569277878,0.0007988744894223948,0.4578475213112055,0.0010991012664389385
0.0,0.00404040404040404,naive,0.8766952523367807,0.0008080144773405611,0.11320799915583396,0.0053096441023266615,0.4949516257463074,0.0024799510395554928
0.0,0.00808080808080808,A,0.03779365093994245,0.00212801000787632,0.8656650311686058,0.0008011436701748701,0.4517293410542743,0.0011427780409444808
0.0,0.00808080808080808,B,0.06735852980404021,0.002290880548885632,0.8650381519213244,0.0008158378660037379,0.46619834086268236,0.0012130224592819194
0.0,0.00808080808080808,naive,0.8779218228138229,0.0008527296762185598,0.10558806120537825,0.005474697198003684,0.49175494200960057,0.0025502523087144423
0.0,0.012121212121212121,A,0.03648645289419711,0.0018199680077691542,0.8656851546628335,0.0008087201353888238,0.45108580377851526,0.0009690730060901525
0.0,0.012121212121212121,B,0.08143888674036609,0.002073100528713481,0.8641167014956586,0.000812594373869502,0.47277779411801224,0.0010772871141821385
0.0,0.012121212121212121,naive,0.8788414640155273,0.0008388155520278514,0.100352828757723,0.005141042115032241,0.48959714638662516,0.0023663369955778998
0.0,0.01616161616161616,A,0.03607326291821693,0.0019657878969764476,0.8645943691876633,0.0008421856563096056,0.4503338160529401,0.0010924968499620475
0.0,0.01616161616161616,B,0.09874229028485491,0.002123038697982818,0.8617191643720578,0.0008875075745260823,0.48023072732845634,0.0011461995325397299
0.0,0.01616161616161616,naive,0.8768542963377797,0.0008073080282085182,0.09677375574862986,0.0052299433810026885,0.48681402604320484,0.002490974562348028
0.0,0.0202020202020202,A,0.036466521695192905,0.0019346246339732233,0.8660846331104967,0.0008185462094631057,0.45127557740284474,0.0010545909317670056
0.0,0.0202020202020202,B,0.11729116239398554,0.002075860252300445,0.8611384814532562,0.0008699859912035035,0.4892148219236209,0.0011014314775195306
0.0,0.0202020202020202,naive,0.8775612598552331,0.0008557501874694765,0.09829967901036522,0.005259175898876367,0.48793046943279916,0.0024465589424250557
0.0,0.024242424242424242,A,0.03965060928522924,0.0021349754494890748,0.8666095041593448,0.0007826553020265695,0.45313005672228696,0.0011375910290125368
0.0,0.024242424242424242,B,0.13882527398078165,0.0021969274542474842,0.8597788588647935,0.0008327825016475688,0.4993020664227876,0.001136509198274218
0.0,0.024242424242424242,naive,0.8777454822249663,0.0008293050684681462,0.11153187429499255,0.0054837523021778745,0.49463867825997937,0.0025700256892480324
0.0,0.028282828282828285,A,0.037816666113113906,0.0019665335795007338,0.8651360819505065,0.0008304145475011622,0.45147637403181023,0.0010658188891689263
0.0,0.028282828282828285,B,0.15517820036322605,0.002174218657965259,0.8544232141054959,0.0009607651998309645,0.504800707234361,0.0011265772414838888
0.0,0.028282828282828285,naive,0.8778161022668255,0.0008062249221414353,0.09949253783126764,0.005015534542557703,0.48865432004904646,0.002339107883253796
0.0,0.03232323232323232,A,0.03937336691779181,0.00209711856928125,0.8670708652784868,0.0008775356071111228,0.4532221160981393,0.0011566543649241593
0.0,0.03232323232323232,B,0.1760479373553443,0.0022146929016533742,0.853460611108525,0.0010138678006022014,0.5147542742319346,0.0011792184419537552
0.0,0.03232323232323232,naive,0.8790071778456562,0.0008160989184842857,0.09816543874726466,0.005235063600731813,0.4885863082964603,0.0024813852963330558
0.0,0.03636363636363636,A,0.0418588665503741,0.0021642071210040137,0.8668816473812901,0.0008977614447468291,0.4543702569658322,0.0011433880456357428
0.0,0.03636363636363636,B,0.19717038383443491,0.0023942440483323813,0.8493179027342909,0.0010630899682630302,0.5232441432843629,0.0012093707918286968
0.0,0.03636363636363636,naive,0.8800467457618621,0.0007243305254168586,0.10430135556375612,0.005230924657413713,0.4921740506628091,0.002512920524962445
0.0,0.0404040404040404,A,0.04523792526760273,0.0023399033639772424,0.8644785443875249,0.0008148428501140517,0.4548582348275637,0.00120515516609584
0.0,0.0404040404040404,B,0.22113198017889857,0.002462754203854455,0.84108222918893,0.0010873143740043612,0.5311071046839143,0.0012216195401387436
0.0,0.0404040404040404,naive,0.8757541457997918,0.0008486921384744563,0.10887418118242756,0.005684239095421162,0.49231416349110974,0.002664490889380053
0.0,0.044444444444444446,A,0.04093021510335069,0.002139564674069851,0.8676178423909863,0.0008071688415930907,0.45427402874716855,0.0010978969421370753
0.0,0.044444444444444446,B,0.23801610134805656,0.0022166256035265133,0.8391252626767794,0.001056644401311127,0.538570682012418,0.0011010733215775215
0.0,0.044444444444444446,naive,0.8762972749366209,0.0009113494199158683,0.1031395347444714,0.005430902155150797,0.4897184048405461,0.002543250639144079
0.0,0.048484848484848485,A,0.04058095783957762,0.0020980660575109908,0.8638635762163202,0.0008753206669599126,0.45222226702794893,0.0011371703055352738
0.0,0.048484848484848485,B,0.26138553764581735,0.0022647217231879214,0.8287286300092224,0.0012309392443659527,0.5450570838275198,0.0010981424056912621
0.0,0.048484848484848485,naive,0.8785057186292855,0.0007722101125097625,0.09720983738159296,0.00503025876570321,0.4878577780054393,0.0023717771552401686
0.0,0.052525252525252523,A,0.043294753305130475,0.0022243216625707986,0.8639744570267777,0.0008333079487803602,0.45363460516595405,0.00119061475944612
0.0,0.052525252525252523,B,0.28699947000856896,0.002286175567446969,0.819712621744044,0.0012243597087904284,0.5533560458763066,0.0011252427957931521
0.0,0.052525252525252523,naive,0.8779901175794126,0.0007019467958947058,0.09891369466692693,0.004981334169385947,0.48845190612316985,0.0023780624326098505
0.0,0.05656565656565657,A,0.044409945448197756,0.002357749462571089,0.8649813002076924,0.000853641001331623,0.454695622827945,0.001239899650072176
0.0,0.05656565656565657,B,0.3116293303820552,0.0024466904379779582,0.8132021467785461,0.0013955491964194597,0.5624157385803007,0.001147193783791038
0.0,0.05656565656565657,naive,0.8799744593080535,0.0008262870896984529,0.10313076314506751,0.00536287265530061,0.4915526112265606,0.002505043490891947
0.0,0.06060606060606061,A,0.04378586970410165,0.00227967236773782,0.8653708535679872,0.0007747840600761905,0.4545783616360443,0.001232230040282502
0.0,0.06060606060606061,B,0.333897801197683,0.002394446739921692,0.8041288212719087,0.0012224041720209368,0.5690133112347958,0.0011177909411277977
0.0,0.06060606060606061,naive,0.8787370640938021,0.0007799306780203872,0.09674279803956058,0.0049367282628899455,0.4877399310666813,0.0023166720667566923
0.0,0.06464646464646465,A,0.04759360679365241,0.00249503999885049,0.8666948514498443,0.0007929881959913132,0.4571442291217484,0.0013460399476321308
0.0,0.06464646464646465,B,0.3605774184730939,0.002375365867530786,0.7939044254000445,0.0014551491160078984,0.5772409219365692,0.0011985386422151618
0.0,0.06464646464646465,naive,0.8779144740256055,0.0009481099770476061,0.10802494991487906,0.0055590529248990975,0.4929697119702422,0.0025606721530678114
0.0,0.06868686868686869,A,0.04847950533937821,0.0026177863119075805,0.8664812863289805,0.0008287627306200414,0.45748039583417927,0.0014057441070053662
0.0,0.06868686868686869,B,0.39049597312212425,0.0025167457208383594,0.7790260056244995,0.0017264098360300227,0.5847609893733119,0.0011379953830925982
0.0,0.06868686868686869,naive,0.8776824041855993,0.000881270576533574,0.10846351976378404,0.005374158463545149,0.4930729619746916,0.0025076836766156664
0.0,0.07272727272727272,A,0.05179850255567672,0.002718441282465853,0.8659890390254728,0.0008432546454618448,0.4588937707905748,0.001463220247830927
0.0,0.07272727272727272,B,0.4203553438756218,0.002394443623851582,0.7626017714724824,0.0020084368132668507,0.5914785576740522,0.0012105548892277227
0.0,0.07272727272727272,naive,0.8772106118693292,0.0009179323410907799,0.1105523909482893,0.005889868113876426,0.49388150140880926,0.0027374909073375367
0.0,0.07676767676767676,A,0.04586946326884599,0.0023364043227273824,0.864755658116811,0.0007933258763502992,0.4553125606928285,0.0012336912740876181
0.0,0.07676767676767676,B,0.43812220878759367,0.0026993651670828077,0.7469615629257086,0.002133073942499001,0.5925418858566512,0.0010423799852118257
0.0,0.07676767676767676,naive,0.877444324719807,0.0008772936854770877,0.09757224004920158,0.004823253251290249,0.4875082823845042,0.0022043862175255566
0.0,0.0808080808080808,A,0.05319382385230062,0.002799482719472206,0.8645581220383014,0.0008155366891395319,0.45887597294530097,0.0014758734033532006
